id,title,url,images,type,brand,display,year,price,time_changed
12140,Apple iPad Pro 12.9 4th Gen 512GB Wi-Fi,ipad-pro-12-9-4th-gen-512gb-wi_fi,apple-ipad-pro-12-9-4th-gen-512gb-wi_fi.webp,tablet,Apple,1,2020,190,2023-02-21 01:16:12
12141,Apple iPad Pro 12.9 4th Gen 1TB Wi-Fi,ipad-pro-12-9-4th-gen-1tb-wi_fi,apple-ipad-pro-12-9-4th-gen-1tb-wi_fi.webp,tablet,Apple,1,2020,210,2023-02-21 01:18:45
12142,Apple iPad Pro 11 3rd Gen 128GB Wi-Fi + Cellular,ipad-pro-11-3rd-gen-128gb-wi_fi-cellular,apple-ipad-pro-11-3rd-gen-128gb-wi_fi-cellular.webp,tablet,Apple,1,2021,170,2023-02-20 03:47:10
12143,Apple iPad Pro 11 3rd Gen 256GB Wi-Fi + Cellular,ipad-pro-11-3rd-gen-256gb-wi_fi-cellular,apple-ipad-pro-11-3rd-gen-256gb-wi_fi-cellular.webp,tablet,Apple,1,2021,190,2023-02-20 03:47:53
12144,Apple iPad Pro 11 3rd Gen 512GB Wi-Fi + Cellular,ipad-pro-11-3rd-gen-512gb-wi_fi-cellular,apple-ipad-pro-11-3rd-gen-512gb-wi_fi-cellular.webp,tablet,Apple,1,2021,215,2023-02-20 03:48:46
12145,Apple iPad Pro 11 3rd Gen 1TB Wi-Fi + Cellular,ipad-pro-11-3rd-gen-1tb-wi_fi-cellular,apple-ipad-pro-11-3rd-gen-1tb-wi_fi-cellular.webp,tablet,Apple,1,2021,250,2023-02-20 03:47:34
12146,Apple iPad Pro 11 3rd Gen 2TB Wi-Fi + Cellular,ipad-pro-11-3rd-gen-2tb-wi_fi-cellular,apple-ipad-pro-11-3rd-gen-2tb-wi_fi-cellular.webp,tablet,Apple,1,2021,275,2023-02-20 03:48:15
12147,Apple iPad Pro 11 3rd Gen 128GB Wi-Fi,ipad-pro-11-3rd-gen-128gb-wi_fi,apple-ipad-pro-11-3rd-gen-128gb-wi_fi.webp,tablet,Apple,1,2021,150,2023-02-20 03:47:07
12148,Apple iPad Pro 11 3rd Gen 256GB Wi-Fi,ipad-pro-11-3rd-gen-256gb-wi_fi,apple-ipad-pro-11-3rd-gen-256gb-wi_fi.webp,tablet,Apple,1,2021,170,2023-02-20 03:47:48
12149,Apple iPad Pro 11 3rd Gen 512GB Wi-Fi,ipad-pro-11-3rd-gen-512gb-wi_fi,apple-ipad-pro-11-3rd-gen-512gb-wi_fi.webp,tablet,Apple,1,2021,200,2023-02-20 03:48:31
12150,Apple iPad Pro 11 3rd Gen 1TB Wi-Fi,ipad-pro-11-3rd-gen-1tb-wi_fi,apple-ipad-pro-11-3rd-gen-1tb-wi_fi.webp,tablet,Apple,1,2021,225,2023-02-20 03:47:30
12151,Apple iPad Pro 11 3rd Gen 2TB Wi-Fi,ipad-pro-11-3rd-gen-2tb-wi_fi,apple-ipad-pro-11-3rd-gen-2tb-wi_fi.webp,tablet,Apple,1,2021,245,2023-02-20 03:48:10
12152,Apple iPad Pro 12.9 5th Gen 128GB Wi-Fi + Cellular,ipad-pro-12-9-5th-gen-128gb-wi_fi-cellular,apple-ipad-pro-12-9-5th-gen-128gb-wi_fi-cellular.webp,tablet,Apple,1,2021,210,2023-02-21 01:27:06
12153,Apple iPad Pro 12.9 5th Gen 256GB Wi-Fi + Cellular,ipad-pro-12-9-5th-gen-256gb-wi_fi-cellular,apple-ipad-pro-12-9-5th-gen-256gb-wi_fi-cellular.webp,tablet,Apple,1,2021,220,2023-02-21 01:27:47
12154,Apple iPad Pro 12.9 5th Gen 512GB Wi-Fi + Cellular,ipad-pro-12-9-5th-gen-512gb-wi_fi-cellular,apple-ipad-pro-12-9-5th-gen-512gb-wi_fi-cellular.webp,tablet,Apple,1,2021,230,2023-02-21 01:28:48
12155,Apple iPad Pro 12.9 5th Gen 1TB Wi-Fi + Cellular,ipad-pro-12-9-5th-gen-1tb-wi_fi-cellular,apple-ipad-pro-12-9-5th-gen-1tb-wi_fi-cellular.webp,tablet,Apple,1,2021,310,2023-02-21 01:28:22
12156,Apple iPad Pro 12.9 5th Gen 2TB Wi-Fi + Cellular,ipad-pro-12-9-5th-gen-2tb-wi_fi-cellular,apple-ipad-pro-12-9-5th-gen-2tb-wi_fi-cellular.webp,tablet,Apple,1,2021,330,2023-02-21 01:29:11
12157,Apple iPad Pro 12.9 5th Gen 128GB Wi-Fi,ipad-pro-12-9-5th-gen-128gb-wi_fi,apple-ipad-pro-12-9-5th-gen-128gb-wi_fi.webp,tablet,Apple,1,2021,190,2023-02-21 01:27:09
12158,Apple iPad Pro 12.9 5th Gen 256GB Wi-Fi,ipad-pro-12-9-5th-gen-256gb-wi_fi,apple-ipad-pro-12-9-5th-gen-256gb-wi_fi.webp,tablet,Apple,1,2021,200,2023-02-21 01:27:43
12159,Apple iPad Pro 12.9 5th Gen 512GB Wi-Fi,ipad-pro-12-9-5th-gen-512gb-wi_fi,apple-ipad-pro-12-9-5th-gen-512gb-wi_fi.webp,tablet,Apple,1,2021,210,2023-02-21 01:28:45
12160,Apple iPad Pro 12.9 5th Gen 1TB Wi-Fi,ipad-pro-12-9-5th-gen-1tb-wi_fi,apple-ipad-pro-12-9-5th-gen-1tb-wi_fi.webp,tablet,Apple,1,2021,280,2023-02-21 01:28:16
12161,Apple iPad Pro 12.9 5th Gen 2TB Wi-Fi,ipad-pro-12-9-5th-gen-2tb-wi_fi,apple-ipad-pro-12-9-5th-gen-2tb-wi_fi.webp,tablet,Apple,1,2021,300,2023-02-21 01:29:07
12162,Apple iPad Pro 11 4th Gen 128GB Wi-Fi + Cellular,ipad-pro-11-4th-gen-128gb-wi_fi-cellular,apple-ipad-pro-11-4th-gen-128gb-wi_fi-cellular.webp,tablet,Apple,1,2022,175,2023-02-20 04:11:26
12163,Apple iPad Pro 11 4th Gen 256GB Wi-Fi + Cellular,ipad-pro-11-4th-gen-256gb-wi_fi-cellular,apple-ipad-pro-11-4th-gen-256gb-wi_fi-cellular.webp,tablet,Apple,1,2022,200,2023-02-20 04:18:59
12164,Apple iPad Pro 11 4th Gen 512GB Wi-Fi + Cellular,ipad-pro-11-4th-gen-512gb-wi_fi-cellular,apple-ipad-pro-11-4th-gen-512gb-wi_fi-cellular.webp,tablet,Apple,1,2022,225,2023-02-20 04:21:04
